customer_id,satisfaction_score,survey_date,tier,points
C084,10.0,2023-12-01,,
C054,1.0,2023-12-02,Silver,6777.0
C071,8.0,2023-12-03,Platinum,747.0
C046,2.0,2023-12-04,Bronze,9059.0
C045,4.0,2023-12-05,Silver,8892.0
C040,5.0,2023-12-06,,
C023,10.0,2023-12-07,,
C081,9.0,2023-12-08,,
C011,5.0,2023-12-09,,
C001,5.0,2023-12-10,Platinum,4674.0
C019,4.0,2023-12-11,,
C031,2.0,2023-12-12,Platinum,6742.0
C074,3.0,2023-12-13,,
C034,5.0,2023-12-14,Silver,7678.0
C091,2.0,2023-12-15,Gold,5552.0
C005,8.0,2023-12-16,Silver,3084.0
C077,8.0,2023-12-17,Silver,7439.0
C078,10.0,2023-12-18,Platinum,245.0
C013,6.0,2023-12-19,Silver,2748.0
C032,10.0,2023-12-20,Platinum,351.0
C056,9.0,2023-12-21,,
C089,5.0,2023-12-22,Silver,520.0
C027,2.0,2023-12-23,Platinum,2476.0
C043,1.0,2023-12-24,Silver,6470.0
C070,10.0,2023-12-25,Gold,2748.0
C016,10.0,2023-12-26,,
C041,1.0,2023-12-27,,
C097,10.0,2023-12-28,,
C010,10.0,2023-12-29,Gold,2118.0
C073,7.0,2023-12-30,Gold,1586.0
C012,2.0,2023-12-31,Platinum,7930.0
C048,1.0,2024-01-01,,
C086,3.0,2024-01-02,Bronze,4139.0
C029,4.0,2024-01-03,Silver,3938.0
C094,8.0,2024-01-04,,
C006,7.0,2024-01-05,Platinum,9453.0
C067,10.0,2024-01-06,,
C066,2.0,2024-01-07,Platinum,8158.0
C036,8.0,2024-01-08,Platinum,7394.0
C017,6.0,2024-01-09,Bronze,1118.0
C050,10.0,2024-01-10,,
C035,2.0,2024-01-11,,
C008,4.0,2024-01-12,,
C096,10.0,2024-01-13,Gold,4207.0
C028,7.0,2024-01-14,,
C020,10.0,2024-01-15,Silver,1348.0
C082,8.0,2024-01-16,Platinum,2838.0
C026,2.0,2024-01-17,,
C063,1.0,2024-01-18,Gold,9842.0
C014,6.0,2024-01-19,,
C009,,,Gold,5001.0
C083,,,Platinum,5156.0
C064,,,Bronze,2152.0
C051,,,Platinum,1646.0
C024,,,Silver,289.0
C061,,,Gold,7484.0
C025,,,Gold,2355.0
C039,,,Gold,2987.0
C057,,,Gold,4257.0
C076,,,Gold,3580.0
C030,,,Platinum,1658.0
C092,,,Silver,3711.0
C042,,,Silver,1832.0
C022,,,Gold,6575.0
C085,,,Silver,376.0
C088,,,Bronze,4443.0
C098,,,Silver,5766.0
C021,,,Silver,5643.0
C090,,,Gold,4714.0
C038,,,Platinum,4377.0
C060,,,Bronze,7459.0
C002,,,Gold,8352.0
C075,,,Bronze,6131.0
C080,,,Bronze,5913.0
C015,,,Silver,9540.0
C055,,,Platinum,2801.0
C052,,,Platinum,8045.0
C007,,,Platinum,3010.0
C099,,,Silver,4737.0
C044,,,Platinum,9308.0
